"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-11","9.62",",,W",,,"0.11",",,W,2400","3.1",",,W,","1.2",",,W,2400","5","H,,S","24",",,W","-1",",,W",,,"  250",",,W","  240",",,W","25.9",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-12","16.33",",,W",,,"0.01",",,W,2400","0.1",",,W,","3.1",",,W,2400","14","H,,S","20",",,W","3",",,W",,,"  310",",,W","  280",",,W","25.9",",,W","34.0",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-13","9.40",",,W",,,"0.00","T,,W,2400","0.1",",,W,","3.1",",,W,2400","7","H,,S","25",",,W","-2",",,W",,,"  220",",,W","  200",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-14","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W,","2.0",",,W,2400","31","H,,S","44",",,W","24",",,W",,,"  190",",,W","  200",",,W","21.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-15","13.42",",,W",,,"0.01",",,W,2400","0.0","T,,W,","0.0",",,W,2400","40","H,,S","43",",,W","30",",,W",,,"  340",",,W","  210",",,W","23.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-16","13.87",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","28","H,,S","30",",,W","9",",,W",,,"  290",",,W","  290",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-17","16.11",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","8","H,,S","8",",,W","-1",",,W",,,"  300",",,W","  300",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-18","14.09",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","1","H,,S","7",",,W","-4",",,W",,,"  300",",,W","  290",",,W","19.9",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-19","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","6","H,,S","17",",,W","0",",,W",,,"  300",",,W","  300",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-20","3.58",",,W",,,"0.05",",,W,2400","0.9",",,W,","0.0",",,W,2400","17","H,,S","23",",,W","12",",,W",,,"  250",",,W","  260",",,W","8.9",",,W","11.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-21","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","19","H,,S","29",",,W","9",",,W",,,"   70",",,W","   40",",,W","8.1",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-22","10.51",",,W",,,"0.02",",,W,2400","0.4",",,W,","0.0",",,W,2400","24","H,,S","30",",,W","19",",,W",,,"   50",",,W","   40",",,W","17.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-23","6.26",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","28","H,,S","33",",,W","20",",,W",,,"  340",",,W","  320",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-24","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","27","H,,S","34",",,W","24",",,W",,,"  210",",,W","  200",",,W","19.9",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-25","10.29",",,W",,,"0.13",",,W,2400","0.0",",,W,","0.0",",,W,2400","31","H,,S","41",",,W","24",",,W",,,"  250",",,W","  250",",,W","25.1",",,W","32.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-26","16.55",",,W",,,"0.02",",,W,2400","0.0","T,,W,","0.0",",,W,2400","33","H,,S","36",",,W","24",",,W",,,"  270",",,W","  260",",,W","28.0",",,W","35.1",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-27","13.20",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","28","H,,S","34",",,W","23",",,W",,,"  210",",,W","  220",",,W","29.1",",,W","38.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-28","15.21",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","34","H,,S","39",",,W","29",",,W",,,"  340",",,W","  340",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-29","10.51",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","28","H,,S","35",",,W","20",",,W",,,"  190",",,W","  200",",,W","23.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-30","8.50",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,2400","38","H,,S","46",",,W","35",",,W",,,"  190",",,W","  190",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-01-31","8.50",",,W",,,"0.02",",,W,2400","0.0",",,W,","0.0",",,W,2400","42","H,,S","48",",,W","33",",,W",,,"  290",",,W","  280",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-01","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","36","H,,S","45",",,W","30",",,W",,,"  280",",,W","   50",",,W","10.1",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-02","11.41",",,W",,,"0.79",",,W,2400","0.0",",,W,","0.0",",,W,2400","35","H,,S","38",",,W","32",",,W",,,"  100",",,W","  100",",,W","33.1",",,W","40.0",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-03","13.42",",,W",,,"0.02",",,W,2400","0.0","T,,W,","0.0",",,W,2400","36","H,,S","37",",,W","28",",,W",,,"  280",",,W","  240",",,W","23.0",",,W","30.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-04","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","27","H,,S","32",",,W","19",",,W",,,"  280",",,W","  290",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-05","6.71",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0","T,,W,2400","29","H,,S","34",",,W","25",",,W",,,"  330",",,W","  320",",,W","17.0",",,W","19.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-06","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","31","H,,S","41",",,W","24",",,W",,,"  250",",,W","  260",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-07","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","38","H,,S","43",",,W","32",",,W",,,"  250",",,W","  250",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-08","11.18",",,W",,,"0.02",",,W,2400","0.4",",,W,","0.0",",,W,2400","31","H,,S","32",",,W","20",",,W",,,"  320",",,W","  280",",,W","19.9",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-09","14.54",",,W",,,"0.02",",,W,2400","0.6",",,W,","1.2",",,W,2400","19","H,,S","21",",,W","13",",,W",,,"  320",",,W","  330",",,W","19.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-10","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,2400","14","H,,S","18",",,W","9",",,W",,,"  320",",,W","  320",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-11","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","13","H,,S","21",",,W","7",",,W",,,"  340",",,W","  340",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-12","17.00",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","19","H,,S","23",",,W","7",",,W",,,"  320",",,W","  320",",,W","30.0",",,W","36.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-13","8.95",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","9","H,,S","17",",,W","2",",,W",,,"  330",",,W","  340",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-14","11.86",",,W",,,"0.10",",,W,2400","2.3",",,W,","0.0",",,W,2400","14","H,,S","18",",,W","9",",,W",,,"  130",",,W","  110",",,W","21.9",",,W","25.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-15","6.71",",,W",,,"0.01",",,W,2400","0.1",",,W,","2.0",",,W,2400","21","H,,S","27",",,W","18",",,W",,,"  260",",,W","  240",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-16","4.70",",,W",,,"0.04",",,W,2400","0.4",",,W,","2.0",",,W,2400","27","H,,S","33",",,W","24",",,W",,,"  300",",,W","  360",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-17","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,2400","28","H,,S","34",",,W","21",",,W",,,"   50",",,W","  360",",,W","13.0",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-18","15.21",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","30","H,,S","42",",,W","23",",,W",,,"  170",",,W","  170",",,W","25.9",",,W","35.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-19","26.62",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","47","H,,S","62",",,W","41",",,W",,,"  250",",,W","  250",",,W","45.0",",,W","62.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-20","12.08",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","49","H,,S","57",",,W","38",",,W",,,"  270",",,W","  240",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-21","9.17",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","40","H,,S","41",",,W","29",",,W",,,"   40",",,W","   30",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-22","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","35","H,,S","44",",,W","26",",,W",,,"   70",",,W","  110",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-23","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","36","H,,S","45",",,W","26",",,W",,,"   40",",,W","   40",",,W","17.0",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-24","22.82",",,W",,,"0.15",",,W,2400","1.7",",,W,","0.0",",,W,2400","35","H,,S","36",",,W","32",",,W",,,"   20",",,W","   30",",,W","32.0",",,W","44.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-25","16.55",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","33","H,,S","37",",,W","31",",,W",,,"  330",",,W","  330",",,W","28.0",",,W","34.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-26","9.40",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","31","H,,S","33",",,W","24",",,W",,,"  260",",,W","  240",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-27","14.99",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","37","H,,S","54",",,W","28",",,W",,,"  250",",,W","  240",",,W","23.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-28","19.91",",,W",,,"0.08",",,W,2400","0.0",",,W,","0.0",",,W,2400","52","H,,S","62",",,W","36",",,W",,,"  320",",,W","  220",",,W","31.1",",,W","40.9",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-02-29","14.99",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,2400","41","H,,S","52",",,W","28",",,W",,,"  310",",,W","  250",",,W","23.9",",,W","31.1",",,W",,,,,,,"    1",",,W",,,"    1",",,W",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-01","17.00",",,W",,,"0.10",",,W,2400","1.0",",,W,","0.0",",,W,2400","28","H,,S","30",",,W","18",",,W",,,"  330",",,W","   30",",,W","25.9",",,W","35.1",",,W","    1",",,W","    1",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-02","6.71",",,W",,,"0.00","T,,W,2400","0.0","T,,W,","1.2",",,W,2400","21","H,,S","32",",,W","11",",,W",,,"  240",",,W","  290",",,W","15.0",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-03","8.72",",,W",,,"0.07",",,W,2400","0.8",",,W,","1.2",",,W,2400","30","H,,S","33",",,W","27",",,W",,,"   20",",,W","   30",",,W","15.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-04","7.16",",,W",,,"0.07",",,W,2400","0.8",",,W,","0.0",",,W,2400","30","H,,S","39",",,W","20",",,W",,,"  160",",,W","  160",",,W","18.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-05","7.83",",,W",,,"0.00","T,,W,2400","0.0",",,W,","1.2",",,W,2400","33","H,,S","39",",,W","29",",,W",,,"  340",",,W","   10",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-06","14.32",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","39","H,,S","52",",,W","33",",,W",,,"  190",",,W","  190",",,W","25.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-07","13.42",",,W",,,"0.03",",,W,2400","0.0",",,W,","0.0",",,W,2400","51","H,,S","63",",,W","44",",,W",,,"  200",",,W","  200",",,W","23.0",",,W","27.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-08","16.78",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,2400","62","H,,S","70",",,W","58",",,W",,,"  220",",,W","  220",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-09","10.07",",,W",,,"0.18",",,W,2400","0.0",",,W,","0.0",",,W,2400","61","H,,S","63",",,W","48",",,W",,,"  200",",,W","  200",",,W","21.9",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-10","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","49","H,,S","51",",,W","37",",,W",,,"   10",",,W","   50",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-11","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,2400","43","H,,S","55",",,W","34",",,W",,,"   80",",,W","   80",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-12","4.70",",,W",,,"0.00","T,,W,2400","0.0",",,W,","0.0",",,W,2400","43","H,,S","59",",,W","33",",,W",,,"   80",",,W","   50",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-13","9.17",",,W",,,"0.66",",,W,2400","0.0",",,W,","0.0",",,W,2400","47","H,,S","48",",,W","43",",,W",,,"   70",",,W","   70",",,W","19.9",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2016-03-14","4.92",",,W",,,"0.01",",,W,2400","0.0",",,W,","0.0",",,W,2400","47","H,,S","55",",,W","43",",,W",,,"  330",",,W","  330",",,W","14.1",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
